"","scientific_name","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","taxonid","subspecies","rank","subpopulation","category","code","habitat","suitability","season","majorimportance","IUCN_species_name"
"313","Oryzomys macconnelli",1888,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",58,"Ref_117","1",15605,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Marginal",NA,NA,"Euryoryzomys macconnelli"
"314","Mimon crenulatum",4049,"Phyllostomidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",13.75,"Ref_117","1",13560,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Gardnerycteris crenulatum"
"315","Oryzomys alfaroi",1872,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",33.3,"Ref_117","1",15585,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Handleyomys alfaroi"
"316","Puma yagouaroundi",4823,"Felidae",10,80,0,0,0,0,10,0,0,0,"Ref_110","ABC","G","A","",0,1,1,"Ref_1","ABC",6875,"Ref_58","1",9948,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Marginal",NA,NA,"Herpailurus yagouaroundi"
"317","Oryzomys perenensis",1854,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",57.93,"Ref_2, Ref_3","0",136529,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Hylaeamys perenensis"
"318","Oryzomys tatei",1852,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_2","D1","G","A","",1,1,1,"Ref_1","ABC",57.93,"Ref_2, Ref_3","0",29401,NA,NA,NA,"DD","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable","Resident","Yes","Hylaeamys tatei"
"319","Oryzomys yunganus",1856,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",60.5,"Ref_117","1",15617,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Hylaeamys yunganus"
"321","Lichonycteris obscura",4157,"Phyllostomidae",0,0,0,0,0,0,50,50,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",5.6,"Ref_117","1",88120307,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"Lichonycteris degener"
"322","Lonchophylla thomasi",4168,"Phyllostomidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",6.85,"Ref_117","1",88149262,NA,NA,NA,"DD","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Lonchophylla cadenai"
"323","Lonchophylla handleyi",4166,"Phyllostomidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",18.5,"Ref_117","1",136348,NA,NA,NA,"DD","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Lonchophylla chocoana"
"324","Lonchophylla mordax",4163,"Phyllostomidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",10.7,"Ref_117","1",136706,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Lonchophylla concava"
"325","Lophostoma silvicolum",4024,"Phyllostomidae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",32.29,"Ref_58","1",88149174,NA,NA,NA,"NT","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Lophostoma occidentalis"
"326","Micoureus phaeus",59,"Didelphidae",90,0,0,0,0,0,10,0,0,0,"Ref_2","D1","S","A","",1,0,0,"Ref_1","ABC",103.76,"Ref_2, Ref_3","0",136244,NA,NA,NA,"VU","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Marmosa phaea"
"327","Micoureus regina",55,"Didelphidae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",118.6,"Ref_117","1",40511,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Marmosa regina"
"328","Marmosops impavidus",47,"Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",40.5,"Ref_117","1",89333777,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable","Resident",NA,"Marmosops caucae"
"329","Mazama gouazoubira",5293,"Cervidae",0,0,0,0,0,0,30,0,20,50,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",16633.17,"Ref_58","1",136708,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Mazama nemorivaga"
"330","Micronycteris megalotis",4034,"Phyllostomidae",80,0,0,0,0,0,20,0,0,0,"Ref_2","D1","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",6.11,"Ref_117","1",88120398,NA,NA,NA,"DD","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Micronycteris giovanniae"
"331","Oryzomys hammondi",1858,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",60.5,"Ref_117","1",15597,NA,NA,NA,"EN","1.6","Forest - Subtropical/Tropical Moist Lowland","Marginal","Resident",NA,"Mindomys hammondi"
"335","Oryzomys albigularis",1873,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",60.5,"Ref_117","1",15584,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Nephelomys albigularis"
"336","Oryzomys auriventer",1870,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",60.5,"Ref_117","1",15586,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Nephelomys auriventer"
"337","Nesoryzomys indefessus",1808,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_1","ABC",55.26,"Ref_2, Ref_3","0",40765,NA,NA,NA,"VU",NA,NA,NA,NA,NA,"Nesoryzomys narboroughi"
"338","Oryzomys balneator",1869,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",60.5,"Ref_117","1",15587,NA,NA,NA,"DD","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable","Resident","Yes","Oreoryzomys balneator"
"340","Pithecia monachus",684,"Pitheciidae",0,30,0,0,0,0,30,10,0,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",1537.52,"Ref_117","1",39955,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Unknown",NA,NA,"Pithecia napensis"
"341","Platyrrhinus vittatus",4102,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",41.4,"Ref_117","1",136203,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Platyrrhinus albericoi"
"342","Platyrrhinus helleri",4096,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",13.5,"Ref_117","1",88160255,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Platyrrhinus angustirostris"
"343","Platyrrhinus dorsalis",4094,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",26,"Ref_117","1",136232,NA,NA,NA,"NT","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Platyrrhinus ismaeli"
"344","Platyrrhinus lineatus",4101,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",24.36,"Ref_117","1",136317,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Platyrrhinus nigellus"
"345","Callicebus discolor",662,"Pitheciidae",20,0,0,0,0,0,50,0,0,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",1005,"Ref_127","1",41553,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Plecturocebus discolor"
"347","Rhipidomys latimanus",1944,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",57.5,"Ref_117","1",113476528,NA,NA,NA,"DD",NA,NA,NA,NA,NA,"Rhipidomys albujai"
"349","Sturnira lilium",4122,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",19.1,"Ref_117","1",88152001,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Sturnira bakeri"
"350","Sturnira ludovici",4121,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",21.02,"Ref_117","1",88159599,NA,NA,NA,"DD","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Sturnira koopmanhilli"
"351","Sigmodontomys aphrastus",1974,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",71,"Ref_117","1",20222,NA,NA,NA,"DD","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable","Resident","Yes","Tanyuromys aphrastus"
"352","Thomasomys pyrrhonotus",1984,"Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_2","D1","S","A","",1,0,0,"Ref_3","D2",77,"Ref_117","1",96790651,NA,NA,NA,"DD","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable","Resident","Yes","Thomasomys auricularis"
"353","Oryzomys bolivaris",1868,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",60.5,"Ref_117","1",15588,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Transandinomys bolivaris"
"354","Oryzomys talamancae",1851,"Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",55,"Ref_117","1",15615,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Transandinomys talamancae"
"355","Vampyressa bidens",4113,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",11.6,"Ref_117","1",22837,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Vampyriscus bidens"
"356","Vampyressa nymphaea",4112,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",11.8,"Ref_117","1",22840,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Vampyriscus nymphaea"
"357","Vampyrodes caraccioli",4114,"Phyllostomidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",34.7,"Ref_117","1",88151984,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Vampyrodes major"
"358","Cebus albifrons",606,"Cebidae",20,0,0,0,10,0,20,10,20,20,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",2629,"Ref_117","1",4081,NA,NA,NA,"CR",NA,NA,NA,NA,NA,"Cebus aequatorialis"
"359","Cebus capucinus",601,"Cebidae",20,0,0,0,10,0,20,10,20,20,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",2733.32,"Ref_117","1",43934,"capucinus","ssp.",NA,"LC",NA,NA,NA,NA,NA,"Cebus capucinus ssp. capucinus"
"360","Lagothrix lagotricha",622,"Atelidae",10,0,0,0,0,0,70,0,10,10,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",6299.99,"Ref_117","1",11175,NA,NA,NA,"VU","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Lagothrix lagothricha"
"361","Saguinus nigricollis",561,"Cebidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",462,"Ref_117","1",39945,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Leontocebus nigricollis"
"362","Saguinus graellsi",572,"Cebidae",10,0,0,0,10,0,40,40,0,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",462.13,"Ref_2, Ref_3","0",43947,"graellsi","ssp.",NA,"NT",NA,NA,NA,NA,NA,"Leontocebus nigricollis ssp. graellsi"
"363","Saguinus tripartitus",565,"Cebidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",393.5,"Ref_117","1",19824,NA,NA,NA,"NT","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Leontocebus tripartitus"
