"","scientific_name","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","taxonid","subspecies","rank","subpopulation","category","code","habitat","suitability","season","majorimportance","IUCN_species_name"
"95","Glyphonycteris daviesi",4039,"Phyllostomidae",80,0,0,0,0,0,20,0,0,0,"Ref_1","ABC","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",18.61,"Ref_58","1",13377,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Glyphonycteris daviesi"
"96","Glyphonycteris sylvestris",4040,"Phyllostomidae",80,0,0,0,0,0,20,0,0,0,"Ref_1","ABC","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",8.91,"Ref_58","1",13384,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Glyphonycteris sylvestris"
"102","Homo sapiens",833,"Hominidae",10,0,0,0,0,0,60,0,0,30,"Ref_3","D2","G","A","",0,0,1,"Ref_1","ABC",58540.63,"Ref_58","1",136584,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Homo sapiens"
"104","Hydrochoerus hydrochaeris",3055,"Caviidae",0,0,0,0,0,0,10,0,0,90,"Ref_1","ABC","G","A","",0,0,1,"Ref_1","ABC",48144.91,"Ref_58","1",10300,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Hydrochoerus hydrochaeris"
"109","Isothrix bistriata",2947,"Echimyidae",0,0,0,0,0,0,30,0,20,50,"Ref_3","D2","G","A","",1,0,0,"Ref_1","ABC",445,"Ref_117","1",90386297,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"Isothrix bistriata"
"113","Lagothrix poeppigii",624,"Atelidae",0,0,0,0,0,0,70,10,0,20,"Ref_2","D1","Ar","A","",0,0,1,"Ref_1","ABC",62.31,"Ref_2, Ref_3","0",39927,NA,NA,NA,"VU","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Lagothrix poeppigii"
"114","Lampronycteris brachyotis",4041,"Phyllostomidae",80,0,0,0,0,0,20,0,0,0,"Ref_1","ABC","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",10.39,"Ref_58","1",13376,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Lampronycteris brachyotis"
"121","Leopardus wiedii",4805,"Felidae",0,80,0,0,0,0,20,0,0,0,"Ref_1","ABC","S","A","",1,1,0,"Ref_1","ABC",3249.97,"Ref_117","1",11511,NA,NA,NA,"NT","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Leopardus wiedii"
"122","Lionycteris spurrelli",4162,"Phyllostomidae",30,0,0,0,0,0,60,10,0,0,"Ref_3","D2","Ar","A","",1,0,0,"Ref_1","ABC",8.38,"Ref_117","1",12078,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Lionycteris spurrelli"
"123","Lonchophylla hesperia",4167,"Phyllostomidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",11.8,"Ref_178","2",12266,NA,NA,NA,"NT",NA,NA,NA,NA,NA,"Lonchophylla hesperia"
"124","Lonchophylla robusta",4169,"Phyllostomidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",13,"Ref_117","1",12268,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Lonchophylla robusta"
"127","Lophostoma brasiliense",4023,"Phyllostomidae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",9.76,"Ref_58","1",21984,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Lophostoma brasiliense"
"128","Lophostoma carrikeri",4022,"Phyllostomidae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",22.35,"Ref_58","1",99783878,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Lophostoma carrikeri"
"129","Lycalopex culpaeus",4939,"Canidae",10,70,10,0,0,0,10,0,0,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",8616.24,"Ref_58","1",6929,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"No","Lycalopex culpaeus"
"130","Lycalopex sechurae",4937,"Canidae",10,30,30,0,0,0,20,0,0,10,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",4234,"Ref_58","1",6925,NA,NA,NA,"NT",NA,NA,NA,NA,NA,"Lycalopex sechurae"
"132","Makalata macrura",2951,"Echimyidae",0,0,0,0,0,0,80,0,0,20,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",439,"Ref_58","1",6983,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Makalata macrura"
"133","Marmosa lepida",36,"Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",14,"Ref_117","1",12814,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Marmosa lepida"
"134","Marmosa murina",30,"Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",26,"Ref_117","1",40505,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Marmosa murina"
"135","Marmosa robinsoni",38,"Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",56.67,"Ref_117","1",40506,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Marmosa robinsoni"
"136","Marmosa rubra",33,"Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",63,"Ref_117","1",40507,NA,NA,NA,"DD","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Marmosa rubra"
"137","Marmosops neblina",45,"Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1","Ar","A","",1,0,0,"Ref_2","D1",31.57,"Ref_2, Ref_3","0",136830,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Marmosops neblina"
"138","Marmosops noctivagus",44,"Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",21,"Ref_117","Carollia manu",40508,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Marmosops noctivagus"
